balance,address,isContract,pendingReward,totalThalesLP,totalWETHLP,totalThales
1.844e-15,0xab7ab9b6495072c1136f96e301bd8f8de900f119,,,3.5135405057093136e-15,6.694322039444109e-19,3.5135405057093136e-15
1.842e-15,0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,,,3.509729724249759e-15,6.687061386472912e-19,3.509729724249759e-15
1.822e-15,0x9b815dd3e2d30cfef33266fa4c6a7b37bd99edfe,,,3.4716219096542133e-15,6.614454856760937e-19,3.4716219096542133e-15
1.812e-15,0xa66c49fc508306de126229174f8fc624c3313d68,,,3.45256800235644e-15,6.578151591904949e-19,3.45256800235644e-15
1.807e-15,0xf3e11d89b07e738f31de12e8d8cfa0eac7867a37,,,3.4430410487075538e-15,6.559999959476955e-19,3.4430410487075538e-15
1.78e-15,0x214f7b85a0f0aa067bcc2ea6263dd4b0ede8957c,,,3.3915954990035675e-15,6.46198114436579e-19,3.3915954990035675e-15
1.763e-15,0x6d9148e201304aa9cca58a759a134a3fb58fe718,,,3.3592038565973533e-15,6.4002655941106105e-19,3.3592038565973533e-15
1.749e-15,0x682c4184286415344a35a0ff6699bb8edabddc17,,,3.3325283863804715e-15,6.3494410233122275e-19,3.3325283863804715e-15
1.727e-15,0x2db6f5e838ed2bad993e9ff2d3d7a5c1cc35704c,,,3.2906097903253713e-15,6.269573840629055e-19,3.2906097903253713e-15
1.72e-15,0xf534b46711affef626c75b4df62f2e92131efa99,,,3.27727205521693e-15,6.244161555229864e-19,3.27727205521693e-15
1.714e-15,0x1efe03b911d97cf5d86da4a70500ea9f6e8bcfcb,,,3.2658397108382664e-15,6.222379596316271e-19,3.2658397108382664e-15
1.712e-15,0x801ac3cd444a6245dbafbddcab42e3c358b99108,,,3.2620289293787118e-15,6.215118943345073e-19,3.2620289293787118e-15
1.711e-15,0xd2e35e31396edb10a11abec5748ee939d3f420a0,,,3.2601235386489345e-15,6.211488616859474e-19,3.2601235386489345e-15
1.678e-15,0xf3f49dd68586335ee3b01a86368043508c962c2a,,,3.1972456445662843e-15,6.091687842834716e-19,3.1972456445662843e-15
1.672e-15,0x1df70766fd4f025597713f2863e34d7d75777967,,,3.1858133001876205e-15,6.069905883921123e-19,3.1858133001876205e-15
1.634e-15,0xd81f3a7f6d6eebcafec979a0b8b31e4f2f8e718a,,,3.1134084524560834e-15,5.93195347746837e-19,3.1134084524560834e-15
1.623e-15,0xdf5fa32b726a5118281e74ad3b7c707423e28f8b,,,3.0924491544285335e-15,5.892019886126783e-19,3.0924491544285335e-15
1.61e-15,0xbf49b454818783d12bf4f3375ff17c59015e66cb,,,3.0676790749414286e-15,5.844825641814e-19,3.0676790749414286e-15
1.593e-15,0x0cdb8f67f7093688d02fee5c0645aee007efef4f,,,3.035287432535215e-15,5.783110091558822e-19,3.035287432535215e-15
1.592e-15,0x4ab3d7f4c46e511ca09eecdac483e43ed96bd7aa,,,3.0333820418054376e-15,5.779479765073222e-19,3.0333820418054376e-15
1.589e-15,0x4977c1b189e23efac9bade4df7e2582676fe78e3,,,3.0276658696161057e-15,5.768588785616426e-19,3.0276658696161057e-15
1.585e-15,0xecee5497b9dbb82e1804e3224f67d00d8d891c69,,,3.0200443066969965e-15,5.754067479674031e-19,3.0200443066969965e-15
1.583e-15,0x462fc0edb96fe6be1ffba7ec49c0035d63122486,,,3.0162335252374423e-15,5.746806826702834e-19,3.0162335252374423e-15
1.58e-15,0x7d06257b0c7028ef7abfead603ffccc955767470,,,3.0105173530481104e-15,5.735915847246038e-19,3.0105173530481104e-15
1.564e-15,0x1091fb53079f123e823859919e9f7be919b754e9,,,2.9800311013716735e-15,5.677830623476457e-19,2.9800311013716735e-15
1.558e-15,0x0f4cd6be5aef5857352e1c6d481f4c2c3bc9c4fe,,,2.96859875699301e-15,5.656048664562865e-19,2.96859875699301e-15
1.55e-15,0x7c52606470fd31e00ee707514d4deaec29b352f0,,,2.9533556311547917e-15,5.627006052678074e-19,2.9533556311547917e-15
1.548e-15,0xe21658615163c9a74e9b9c2f1d8acafa25a99be4,,,2.949544849695237e-15,5.619745399706877e-19,2.949544849695237e-15
1.544e-15,0x24fc7a0751bbf53c239cc1d21d2951a5b21f733d,,,2.941923286776128e-15,5.605224093764482e-19,2.941923286776128e-15
1.542e-15,0x2d9bc3424ff1c4ec6d24d6219ddc781759870977,,,2.9381125053165733e-15,5.597963440793284e-19,2.9381125053165733e-15
1.541e-15,0xde61973789e6e87d40c0b336c0236ccdbc7a47a3,,,2.936207114586796e-15,5.594333114307686e-19,2.936207114586796e-15
1.526e-15,0x4f1b4a2d5cf60240df3035688db8cceb97170301,,,2.907626253640137e-15,5.539878217023704e-19,2.907626253640137e-15
1.519e-15,0x9b616ac1d31f17be9b23560d93699ca7732e2808,,,2.8942885185316958e-15,5.514465931624513e-19,2.8942885185316958e-15
1.496e-15,0x7dd508a1e4da1243789b799a480f8b45e58b1b5b,,,2.8504645317468182e-15,5.430968422455741e-19,2.8504645317468182e-15
1.483e-15,0x479c4a69b481449c4b92694eb32758cfc920735a,,,2.8256944522597137e-15,5.383774178142958e-19,2.8256944522597137e-15
1.478e-15,0xff5144b6d2aaa53eade50c308c23d5c2151582d2,,,2.8161674986108272e-15,5.365622545714964e-19,2.8161674986108272e-15
1.442e-15,0x800ad781c2755da8dce0e23fad9b56e5b751458b,,,2.7475734323388448e-15,5.234930792233409e-19,2.7475734323388448e-15
1.438e-15,0xc789026a0f0b15c532c77405491331997f2b2bbc,,,2.739951869419736e-15,5.220409486291014e-19,2.739951869419736e-15
1.43e-15,0x9c59990ec0177d87ed7d60a56f584e6b06c639a2,,,2.7247087435815175e-15,5.191366874406223e-19,2.7247087435815175e-15
1.423e-15,0xebacc96ea6449db03732e11f807188e4e57cca97,,,2.7113710084730764e-15,5.165954589007032e-19,2.7113710084730764e-15
1.42e-15,0x31e5825a0901b7c18620d213bbf93140c5d69198,,,2.7056548362837445e-15,5.155063609550236e-19,2.7056548362837445e-15
1.416e-15,0x4f50d47d20380172746527bbeaa274940c38efac,,,2.6980332733646353e-15,5.140542303607841e-19,2.6980332733646353e-15
1.405e-15,0xc874901c1aa292781110118ee4d3731c74e05b16,,,2.6770739753370854e-15,5.100608712266254e-19,2.6770739753370854e-15
1.404e-15,0x54e5e90a6679314e8339bb1ed74beab5ca19324a,,,2.675168584607308e-15,5.096978385780656e-19,2.675168584607308e-15
1.402e-15,0x39f6b2d21a5f93291fba2eb2cc1e435d21bcbc89,,,2.6713578031477535e-15,5.089717732809458e-19,2.6713578031477535e-15
1.396e-15,0x280a8675cf1d930c638f4f9eb9dbe75823801d5a,,,2.6599254587690897e-15,5.067935773895866e-19,2.6599254587690897e-15
1.38e-15,0xda610b7cef2285b7b81cb605538bc3f83999b2ce,,,2.6294392070926533e-15,5.009850550126285e-19,2.6294392070926533e-15
1.373e-15,0xdba05689994d7f71e13f1e61e4b4e12f7d95eefd,,,2.616101471984212e-15,4.984438264727094e-19,2.616101471984212e-15
1.367e-15,0xc8d46eb7881975f9ae15216feeba2ff58e55803c,,,2.6046691276055483e-15,4.962656305813502e-19,2.6046691276055483e-15
1.359e-15,0x9f3bc1104ff63428026aafa5ace281f15fd0bc21,,,2.5894260017673303e-15,4.933613693928711e-19,2.5894260017673303e-15
1.355e-15,0xc910d747306e29c5c2ee7967e0604abc83689246,,,2.581804438848221e-15,4.919092387986317e-19,2.581804438848221e-15
1.346e-15,0xd5f5902901bbe4221c633a4a491a21ab7e4ac091,,,2.5646559222802254e-15,4.886419449615928e-19,2.5646559222802254e-15
1.34e-15,0xf4e433724488e6417633a3e4801532cc1356e38e,,,2.553223577901562e-15,4.864637490702336e-19,2.553223577901562e-15
1.335e-15,0x9ee21e4af3448e98e90e7771618d012eb199f83c,,,2.5436966242526755e-15,4.846485858274341e-19,2.5436966242526755e-15
1.324e-15,0xcfb7a4a57a0eb87499836d501716c1116f9d6c29,,,2.522737326225125e-15,4.806552266932755e-19,2.522737326225125e-15
1.317e-15,0xe61f90a6bce05e1b13655ceb64b3760691691d2b,,,2.509399591116684e-15,4.781139981533563e-19,2.509399591116684e-15
1.315e-15,0x595f16d20959880bfede2c95adb86762f5d155da,,,2.50558880965713e-15,4.773879328562367e-19,2.50558880965713e-15
