totalEscrowed,isContract,totalStaked,unstaking,unstakingAmount,wallet
221920638031622000000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x26f41bd7925e343a5c1a058e36d1295e80e931bd
937554236680036282800,,4048433992813848346200,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x8630821cd31ff019e7addfe0d21c3f401a436d0f
730735246043610335000,,3232656227974057431643,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x0bd1454fa01dd11bf6646bf8bc17a3e48fda3734
3706824404602003648004,,18361000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xa9c6e2cef1c161ad81f009463d3d760ec34d1286
5363271973931771817958,,25869240984768782587200,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x6d9148e201304aa9cca58a759a134a3fb58fe718
124998246763064878408,,0,,,0x388e2ac942b8f08d1ce55a5188e0dd3988b3a43c
299615546081425304911,,2090291811693434884033,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x3b1e215fe1138aa9034b5e6de39892e45ac05176
901785438536048160000,,4385718514406945356160,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x92a2931beeb8403324dc1d6d44b6db54b439f518
841492742678218396272,,5758005682613980636073,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc2596d2f8b5e0285ebf7b6144b8e539d6dfbe893
4830695474627705340000,,35614180737841492257551,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x28a5ec068ae7500cbf21b989d62c7a81e2665b18
430632817452064937442,,9205483591140079095659,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xb729973d8c89c3225daf9bc2b2f2e6805f1e641b
398377778329468790000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x078219b1128ce545555a71088a4bcf3fd8ab39c3
38192428749529885614,,0,1,"{""type"":""BigNumber"",""hex"":""0x0f300325dab9861495""}",0xf9ae06309ca551cdb2fb72831efa2d4fe67cec87
140794195041719518000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xef6ea539e3c71c1399c9d12c2b3eda2a0dff9c9e
163729509697096786740,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xca9d833ee847a31e3fbb02c14718ca1c7270a0fb
2616960045450060582781,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xdca7125336a3ada3ece34860efebc230b6e3cc2e
222601685560468712229,,1095540152054826221966,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xe18026b8d3ed02ced8368d2aa6376133f8442403
492698355079538230000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x89d11c2cf067ab7359c002e348397b25579f2c96
198797225240447870000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x93713bcbe5d637f5dab950825b4c8c3965fae60a
79527213378135596716,,0,,,0xdbb28c659a243cd81f21f494bfd70ba7f9932a97
6699267320899814136360,,37102032892994967647595,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xd2c32f54a26285decf30e6d208f722e7d5fd3f58
2549718808200567440000,,10663558104268505236714,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x3b3540c429e6cec4f63d161ad2788a7d4a9a7b2b
1179363633582042510000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x756e87e8fc39ae79d3d0c0fe8f8561316d77451a
63070479153491213282,,0,,,0x4f50d47d20380172746527bbeaa274940c38efac
291630324185006346000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xff5d6d6f0ca61ac902274595a1297e11071b91a5
101328496793287286855,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x46a616660920ccf12997d1545ccc7c41b00343a5
2444674763844467700000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x92720ecf87cc6584484489264b30438c21ec096a
2746470503025378823394,,6227083821270758404898,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2421134c8e8278ad199f6886ae70c5c373da3b48
1132583882971301780000,,7280197668259531338097,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xba5e3d426cb8692a09c43ac496c79e533f2143f2
4319757141808450303266,,31874512070999754987343,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2ce5f9f52c1eec9a1183f91139c59b485ff39dad
507439230957451756221,,6412215709125528916920,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x86b86392e693077ec58e27331db02563752440a0
77318671294304215036,,270225330856915578458,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xdbb70fbedd2661ef3b6bdf0c105e62fd1c61da7c
524198093869137526473,,2689620676175664427309,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x1239eaecdf3a755970f413d8b7fcd1e7495ea97c
7665382927022217100016,,35068529992284974769002,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xcc2b9fde1e59342c1ae10ebc02bb44e1dbe2b02d
3239480709860440870000,,13237862862403138990739,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x26fae3a7cb7da6c764e86540115d4b8a1d5590a8
783888868715742760010,,410453799457312663790,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xecba5f51925e6ccec26da38dcd7d5305f6bdfbcb
317256275674255838190,,1921438266732422301303,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc789026a0f0b15c532c77405491331997f2b2bbc
192828105898741235247,,400000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xb5f2949aaddd62c07ab10ffd39964faf60887560
1077399270946869465000,,7708905984855820105820,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x050fe16ed4b9a4cef1fdea1fa4f862cc108a2503
19444933675667287674,,288002528741532373067,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x9cf0b1ad309a9cb2e6d60c3774519b41aecdcce1
2614538046408218151109,,14498328371459963150534,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7173ce51d1b494320229e06bbdbe0da258b9b547
543048758783142688731,,4277525922823319321875,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x90c6577fb57edf1921ae3f7f45df7a31e46b9155
891360534119003730000,,5555258119363952946794,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc657ebd5ffcb88964b3e372e00f50596aedcfe6b
7094300463822023049500,,28826708040098910724866,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf534b46711affef626c75b4df62f2e92131efa99
461142197560517129124,,414165504329310744380,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xae8c5c72b63f7b060058e222a159fcfd9c5cf5f7
1870952621803577690000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x8431aa804bb8afe5b798a5c7a3207e1524701078
230838132465691974547,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xba766a08f0a126ed43b2699f722d2063e5fbb308
62039743847116211812,,0,,,0x3e97302885da2802f90ce8bcf3f0cbe9c2da869e
283195990438511626702,,0,,,0xac25c81d79247d94065335c9dd29673562d1b115
6326236550849126240000,,25927178483748249645055,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x01681d6f200d191673797d87fc567f4b06a029cd
4598977615150743518399,,4249365297770938161157,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf7ecae6f035ea4927fde97faa679b5e224afb169
87153396229293845458,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x99eb33756a2eaa32f5964a747722c4b59e6af351
94614978157437040152,,0,1,"{""type"":""BigNumber"",""hex"":""0x096d763ec5d8c5cfef""}",0x81810a7453024a45c1040628b4981dfa3112da04
344183759109724064000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xba718efb68ea96b32678c88019768a449cbc9548
217675964064176007106,,136000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7ccf173012bfe53f16f4d6a2a4aea32abafcd04c
892988242878457834384,,1500000000000000000000,1,"{""type"":""BigNumber"",""hex"":""0x4b6d9481a268cb28e6""}",0xa89f778740c6562daac0fa1e09f48e0283a39611
61023694407156179357,,202943923866097593393,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x907438a78302035e0fd11fb88204a9e1b57ccc68
321409386332549927528,,0,,,0x473c6494180ad9cd726f8a7a51cf8e88bbf72bc6
141130321626271988363,,0,,,0xf92aae42cb0d6635840ae3ad825283089ac78c67
6467261465386060460664,,26690049728118710320177,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xd2e35e31396edb10a11abec5748ee939d3f420a0
1719422475486448008407,,17795443452665152743683,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x935d2fd458fdf41b6f7b62471f593797866a3ce6
113534655434725628000,,1262000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x9f8e4ee788d9b00a3409584e18034aa7b736c396
317376980743884248102,,0,,,0xc05320f54075452ff1a5ce420d64c9d025a452bb
5451083108881514312686,,0,,,0x6c63f89876112e6c7f68e46d9347476e29d5098b
869306498163683562182,,278053332418841005718,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x9a027b64d6fc4a77e34ae40f5e6f9310c457737f
861364040330182666687,,3850817483164958819055,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x961c18a23306fe44c4323adcb3bc343b0d193670
190727597631814023000,,0,1,"{""type"":""BigNumber"",""hex"":""0x34b591fa38c7783c33""}",0x8eabacf3a51608c53253e82e2f51e907972be3cd
21435045553595004837,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xb0c3832690627bb3ed1dbe18d1d7ced5a723b258
112059652175432623607,,0,,,0x7082f1f1f06bb33aa7ade798677c913225507ede
317459907846412386160,,1452499578028565780940,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c
168306543531618853842,,0,,,0x6cfac3cf77a359d7ce28c14f2d53de48981e0f04
29664300097366368290,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x28552ea8b232fc63d6ce69692d8a723efc5d4502
2486889407588012429899,,0,,,0xf4ca35df279677654515d41aca6bc75e79731a4b
1601363545421361563721,,2955991791198475347582,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x1740702d34ba431a4025b9a1e60936090134324b
